step,kind,detail
160,queue,tx#1 start worker
160,tx-step,tx#1 step failed: missing binding
161,tx-step,tx#1 rollback done
320,queue,tx#2 rewire proxy
320,tx-step,tx#2 step done: UNBIND C0->C1
321,tx-step,tx#2 step done: BIND C0->C3
322,tx-step,tx#2 step failed: missing binding
323,tx-step,tx#2 rollback UNBIND C0->C3
324,tx-step,tx#2 rollback BIND C0->C1
325,tx-step,tx#2 rollback done
480,queue,tx#3 api hot update
480,tx-step,tx#3 step failed: network drop
481,tx-step,tx#3 rollback done
640,queue,tx#4 start worker
640,tx-step,tx#4 step failed: missing binding
641,tx-step,tx#4 rollback done
800,queue,tx#5 rewire proxy
800,tx-step,tx#5 step done: UNBIND C0->C1
