benchmark,complexity,total_ms,per_op_ns
pause_loop,500,0.981641,1963.281
pause_loop,2500,4.952734,1981.094
pause_loop,5000,9.924854,1984.971
pause_loop,10000,19.948828,1994.883
pause_loop,20000,39.049121,1952.456
emit_await,250,0.991455,1982.910
emit_await,500,2.007617,2007.617
emit_await,1000,4.028125,2014.062
emit_await,2000,8.114648,2028.662
emit_await,4000,16.073047,2009.131
await_immediate,100,0.986865,9868.652
await_immediate,250,2.420361,9681.445
await_immediate,500,4.808789,9617.578
await_immediate,1000,9.809033,9809.033
await_immediate,2000,19.326025,9663.013
when_guard,250,1.243115,4972.461
when_guard,500,2.450781,4901.562
when_guard,1000,4.798926,4798.926
when_guard,2000,9.765137,4882.568
when_guard,4000,19.355176,4838.794
watch_preempt,150,0.209766,1398.438
watch_preempt,350,0.465674,1330.497
watch_preempt,750,1.013135,1350.846
watch_preempt,1500,1.939209,1292.806
watch_preempt,3000,4.002197,1334.066
parallel_fanout,4,0.217188,1357.422
parallel_fanout,8,0.411719,1286.621
parallel_fanout,16,0.826855,1291.962
parallel_fanout,32,1.792969,1400.757
parallel_fanout,48,2.920801,1521.250
parallel_fanout,64,4.326318,1689.968
combined_core,150,1.208545,2014.242
combined_core,350,2.779834,1985.596
combined_core,750,5.790186,1930.062
combined_core,1500,11.624658,1937.443
combined_core,3000,23.066162,1922.180
