benchmark,complexity,total_ms,per_op_ns
pause_loop,1000,1.949268,1949.268
pause_loop,5000,9.707520,1941.504
pause_loop,10000,19.786377,1978.638
pause_loop,20000,38.627246,1931.362
pause_loop,40000,78.208740,1955.219
emit_await,500,2.052686,2052.686
emit_await,1000,3.962109,1981.055
emit_await,2000,8.122656,2030.664
emit_await,4000,16.069385,2008.673
emit_await,8000,31.812891,1988.306
await_immediate,200,1.977881,9889.404
await_immediate,500,4.831982,9663.965
await_immediate,1000,9.797656,9797.656
await_immediate,2000,19.740771,9870.386
await_immediate,4000,38.576611,9644.153
when_guard,500,2.394141,4788.281
when_guard,1000,4.835303,4835.303
when_guard,2000,9.830615,4915.308
when_guard,4000,19.422656,4855.664
when_guard,8000,38.535742,4816.968
watch_preempt,300,0.421729,1405.762
watch_preempt,700,0.908398,1297.712
watch_preempt,1500,1.997217,1331.478
watch_preempt,3000,3.862158,1287.386
watch_preempt,6000,7.908594,1318.099
parallel_fanout,8,0.422314,1319.733
parallel_fanout,16,0.828174,1294.022
parallel_fanout,32,1.765234,1379.089
parallel_fanout,64,4.355908,1701.527
parallel_fanout,96,7.301074,1901.321
parallel_fanout,128,11.398389,2226.248
combined_core,300,2.444824,2037.354
combined_core,700,5.433496,1940.534
combined_core,1500,11.656689,1942.782
combined_core,3000,23.234326,1936.194
combined_core,6000,45.881152,1911.715
