benchmark,complexity,total_ms,per_op_ns
pause_loop,1000,1.961621,1961.621
pause_loop,5000,9.888184,1977.637
pause_loop,10000,21.273828,2127.383
pause_loop,20000,39.156445,1957.822
pause_loop,40000,78.880518,1972.013
emit_await,500,2.066455,2066.455
emit_await,1000,4.087744,2043.872
emit_await,2000,8.128809,2032.202
emit_await,4000,16.052344,2006.543
emit_await,8000,32.390381,2024.399
await_immediate,200,1.994824,9974.121
await_immediate,500,4.847949,9695.898
await_immediate,1000,9.821973,9821.973
await_immediate,2000,19.365625,9682.812
await_immediate,4000,39.838574,9959.644
when_guard,500,2.455908,4911.816
when_guard,1000,4.867529,4867.529
when_guard,2000,9.883643,4941.821
when_guard,4000,19.450586,4862.646
when_guard,8000,39.177588,4897.198
watch_preempt,300,0.422217,1407.389
watch_preempt,700,0.987207,1410.296
watch_preempt,1500,2.021582,1347.721
watch_preempt,3000,3.975977,1325.326
watch_preempt,6000,8.046045,1341.007
parallel_fanout,8,0.412451,1288.910
parallel_fanout,16,0.825928,1290.512
parallel_fanout,32,1.764600,1378.593
parallel_fanout,64,4.319922,1687.469
parallel_fanout,96,7.551123,1966.438
parallel_fanout,128,11.323633,2211.647
combined_core,300,2.444531,2037.109
combined_core,700,5.594580,1998.064
combined_core,1500,11.904150,1984.025
combined_core,3000,23.648486,1970.707
combined_core,6000,46.981445,1957.560
