benchmark,complexity,total_ms,per_op_ns
pause_loop,1000,1.882617,1882.617
pause_loop,5000,9.497998,1899.600
pause_loop,10000,18.931592,1893.159
pause_loop,20000,38.098047,1904.902
pause_loop,40000,77.235303,1930.883
emit_await,500,2.060596,2060.596
emit_await,1000,4.230322,2115.161
emit_await,2000,8.244629,2061.157
emit_await,4000,16.619336,2077.417
emit_await,8000,32.346533,2021.658
await_immediate,200,1.965967,9829.834
await_immediate,500,4.878906,9757.812
await_immediate,1000,9.699414,9699.414
await_immediate,2000,18.852637,9426.318
await_immediate,4000,37.914209,9478.552
when_guard,500,2.413184,4826.367
when_guard,1000,4.784668,4784.668
when_guard,2000,9.420703,4710.352
when_guard,4000,18.869824,4717.456
when_guard,8000,37.679199,4709.900
watch_preempt,300,0.407959,1359.863
watch_preempt,700,0.910449,1300.642
watch_preempt,1500,1.933936,1289.290
watch_preempt,3000,3.873779,1291.260
watch_preempt,6000,7.629639,1271.606
parallel_fanout,8,0.393945,1231.079
parallel_fanout,16,0.792871,1238.861
parallel_fanout,32,1.703271,1330.681
parallel_fanout,64,4.106055,1603.928
parallel_fanout,96,7.111475,1851.947
parallel_fanout,128,10.656689,2081.385
combined_core,300,2.291504,1909.587
combined_core,700,5.301807,1893.502
combined_core,1500,11.238184,1873.031
combined_core,3000,22.452930,1871.077
combined_core,6000,44.902148,1870.923
